Invoice_no,Customer_ID,Gender,Age,Category,Quantity_Sold,Unit_Price,Total_Revenue,Payment_Method,Invoice_Date,Shopping_Mall
I658818,C239901,Male,40,Clothing,2,600.16,1200.32,Cash,01/01/2022,Cevahir AVM
I123440,C121962,Male,68,Books,1,15.15,15.15,Cash,01/01/2022,Viaport Outlet
I280875,C196213,Female,38,Clothing,5,1500.4,7502,Cash,01/01/2022,Kanyon
I125755,C335387,Female,64,Clothing,3,900.24,2700.72,Cash,01/01/2022,Istinye Park
I306065,C824119,Male,66,Cosmetics,5,203.3,1016.5,Cash,01/01/2022,Metropol AVM
I175403,C275327,Male,55,Souvenir,5,58.65,293.25,Cash,01/01/2022,Istinye Park
I465741,C202567,Male,46,Cosmetics,3,121.98,365.94,Debit Card,01/01/2022,Metrocity
I125725,C901628,Male,22,Technology,3,3150,9450,Cash,01/01/2022,Mall of Istanbul
I249879,C146536,Male,24,Toys,3,107.52,322.56,Cash,01/01/2022,Kanyon
I192724,C287256,Female,38,Clothing,3,900.24,2700.72,Credit Card,01/01/2022,Kanyon
I170659,C313013,Female,24,Clothing,4,1200.32,4801.28,Cash,01/01/2022,Istinye Park
I308457,C239670,Female,29,Clothing,2,600.16,1200.32,Cash,01/01/2022,Metropol AVM
I248272,C339298,Female,69,Toys,2,71.68,143.36,Credit Card,01/01/2022,Mall of Istanbul
I278282,C250439,Female,19,Food & Beverage,3,15.69,47.07,Cash,01/01/2022,Kanyon
I874431,C161884,Female,20,Cosmetics,4,162.64,650.56,Cash,01/01/2022,Cevahir AVM
I167212,C110886,Male,66,Food & Beverage,1,5.23,5.23,Debit Card,01/01/2022,Kanyon
I740632,C283467,Female,49,Clothing,5,1500.4,7502,Cash,01/01/2022,Metrocity
I246745,C194081,Female,50,Books,3,45.45,136.35,Cash,01/01/2022,Kanyon
I328316,C653072,Female,66,Food & Beverage,1,5.23,5.23,Cash,01/01/2022,Mall of Istanbul
I290098,C133163,Female,45,Shoes,1,600.17,600.17,Credit Card,01/01/2022,Metropol AVM
I155275,C181534,Female,68,Books,1,15.15,15.15,Credit Card,01/01/2022,Kanyon
I281604,C644550,Female,43,Clothing,2,600.16,1200.32,Debit Card,01/01/2022,Viaport Outlet
I280220,C192518,Female,42,Cosmetics,5,203.3,1016.5,Credit Card,01/01/2022,Metropol AVM
I145984,C329645,Female,32,Cosmetics,3,121.98,365.94,Credit Card,01/01/2022,Metropol AVM
I134342,C888972,Male,40,Food & Beverage,3,15.69,47.07,Cash,01/01/2022,Metropol AVM
I271352,C238801,Female,53,Clothing,4,1200.32,4801.28,Cash,01/01/2022,Istinye Park
I288518,C284420,Female,37,Shoes,1,600.17,600.17,Credit Card,01/01/2022,Emaar Square Mall
I168584,C753770,Female,55,Clothing,4,1200.32,4801.28,Credit Card,01/01/2022,Metrocity
I122424,C970402,Female,30,Clothing,1,300.08,300.08,Cash,01/01/2022,Metrocity
I121652,C928282,Female,35,Clothing,5,1500.4,7502,Debit Card,01/01/2022,Kanyon
I293564,C136250,Female,53,Clothing,2,600.16,1200.32,Credit Card,01/01/2022,Kanyon
I255193,C226536,Male,22,Food & Beverage,1,5.23,5.23,Debit Card,01/01/2022,Viaport Outlet
I721627,C659355,Female,31,Toys,3,107.52,322.56,Credit Card,01/01/2022,Metrocity
I236310,C203699,Male,38,Cosmetics,2,81.32,162.64,Debit Card,01/01/2022,Kanyon
I143306,C148210,Female,47,Clothing,1,300.08,300.08,Credit Card,01/01/2022,Kanyon
I694147,C185157,Male,50,Toys,4,143.36,573.44,Cash,01/01/2022,Metropol AVM
I271617,C285380,Female,51,Cosmetics,2,81.32,162.64,Cash,01/01/2022,Kanyon
I168274,C294816,Female,67,Clothing,4,1200.32,4801.28,Credit Card,01/01/2022,Forum Istanbul
I209017,C238420,Male,64,Souvenir,2,23.46,46.92,Debit Card,01/01/2022,Mall of Istanbul
I138972,C118194,Male,42,Toys,3,107.52,322.56,Credit Card,01/01/2022,Mall of Istanbul
I168804,C283698,Male,47,Clothing,5,1500.4,7502,Debit Card,01/01/2022,Forum Istanbul
I333700,C360208,Female,38,Clothing,2,600.16,1200.32,Credit Card,01/01/2022,Cevahir AVM
I314478,C757346,Female,19,Cosmetics,5,203.3,1016.5,Credit Card,01/01/2022,Metrocity
I107928,C292171,Male,29,Shoes,3,1800.51,5401.53,Credit Card,01/01/2022,Emaar Square Mall
I145616,C928232,Female,20,Shoes,3,1800.51,5401.53,Cash,01/01/2022,Kanyon
I959913,C189538,Female,22,Clothing,5,1500.4,7502,Debit Card,01/01/2022,Cevahir AVM
I227164,C318067,Female,56,Toys,4,143.36,573.44,Cash,01/01/2022,Mall of Istanbul
I366531,C110111,Female,57,Cosmetics,5,203.3,1016.5,Credit Card,01/01/2022,Zorlu Center
I120898,C275085,Female,28,Food & Beverage,2,10.46,20.92,Credit Card,01/01/2022,Kanyon
I535818,C326687,Male,34,Food & Beverage,4,20.92,83.68,Debit Card,01/01/2022,Zorlu Center
I225067,C253644,Female,53,Books,2,30.3,60.6,Credit Card,01/01/2022,Forum Istanbul
I749747,C131092,Female,39,Clothing,5,1500.4,7502,Debit Card,01/01/2022,Kanyon
I262480,C598895,Male,28,Cosmetics,2,81.32,162.64,Cash,01/01/2022,Metrocity
I109914,C108016,Female,52,Clothing,2,600.16,1200.32,Credit Card,01/01/2022,Istinye Park
I331905,C298012,Male,24,Clothing,1,300.08,300.08,Cash,01/01/2022,Mall of Istanbul
I158045,C597840,Male,35,Shoes,3,1800.51,5401.53,Credit Card,01/01/2022,Mall of Istanbul
I495942,C184918,Male,24,Clothing,3,900.24,2700.72,Cash,01/01/2022,Mall of Istanbul
I278222,C241812,Female,29,Technology,2,2100,4200,Credit Card,01/01/2022,Mall of Istanbul
I155041,C847595,Female,67,Toys,2,71.68,143.36,Cash,01/01/2022,Mall of Istanbul
I154834,C184372,Female,44,Books,3,45.45,136.35,Credit Card,01/01/2022,Kanyon
I536400,C161526,Male,42,Cosmetics,1,40.66,40.66,Cash,01/01/2022,Mall of Istanbul
I148377,C841663,Female,29,Clothing,1,300.08,300.08,Cash,02/01/2022,Istinye Park
I907293,C617356,Male,68,Toys,4,143.36,573.44,Cash,02/01/2022,Mall of Istanbul
I831438,C192387,Male,28,Clothing,5,1500.4,7502,Credit Card,02/01/2022,Kanyon
I163948,C409283,Male,36,Shoes,1,600.17,600.17,Debit Card,02/01/2022,Metropol AVM
I298663,C178575,Female,51,Cosmetics,3,121.98,365.94,Debit Card,02/01/2022,Metropol AVM
I258021,C953955,Male,69,Shoes,4,2400.68,9602.72,Cash,02/01/2022,Metropol AVM
I263821,C137171,Male,49,Food & Beverage,5,26.15,130.75,Debit Card,02/01/2022,Emaar Square Mall
I478114,C192806,Male,37,Toys,5,179.2,896,Debit Card,02/01/2022,Metrocity
I280017,C199444,Male,29,Food & Beverage,3,15.69,47.07,Debit Card,02/01/2022,Istinye Park
I328428,C245653,Female,68,Toys,2,71.68,143.36,Credit Card,02/01/2022,Mall of Istanbul
I806397,C220068,Female,31,Shoes,3,1800.51,5401.53,Debit Card,02/01/2022,Viaport Outlet
I251313,C123729,Female,63,Cosmetics,1,40.66,40.66,Debit Card,02/01/2022,Forum Istanbul
I425845,C189038,Male,28,Cosmetics,3,121.98,365.94,Cash,02/01/2022,Kanyon
I148573,C172518,Female,45,Toys,3,107.52,322.56,Debit Card,02/01/2022,Metrocity
I102800,C211156,Female,40,Shoes,1,600.17,600.17,Credit Card,02/01/2022,Viaport Outlet
I205633,C161693,Male,63,Technology,5,5250,26250,Cash,02/01/2022,Metropol AVM
I569130,C308234,Male,35,Clothing,1,300.08,300.08,Credit Card,02/01/2022,Metrocity
I244810,C337814,Male,56,Toys,3,107.52,322.56,Credit Card,02/01/2022,Kanyon
I891069,C184569,Female,68,Technology,1,1050,1050,Debit Card,02/01/2022,Zorlu Center
I108474,C431425,Female,22,Food & Beverage,3,15.69,47.07,Credit Card,02/01/2022,Cevahir AVM
I743543,C769257,Female,23,Souvenir,4,46.92,187.68,Credit Card,02/01/2022,Kanyon
I148843,C163261,Male,39,Shoes,4,2400.68,9602.72,Cash,02/01/2022,Mall of Istanbul
I334970,C228997,Female,55,Books,4,60.6,242.4,Cash,02/01/2022,Istinye Park
I102286,C303985,Female,50,Souvenir,3,35.19,105.57,Cash,02/01/2022,Emaar Square Mall
I208812,C278212,Female,22,Clothing,1,300.08,300.08,Debit Card,02/01/2022,Mall of Istanbul
I456089,C943006,Male,58,Cosmetics,5,203.3,1016.5,Credit Card,02/01/2022,Metropol AVM
I277965,C211308,Male,39,Clothing,3,900.24,2700.72,Credit Card,02/01/2022,Istinye Park
I218608,C587032,Female,38,Toys,5,179.2,896,Credit Card,02/01/2022,Metrocity
I405141,C174999,Female,34,Clothing,2,600.16,1200.32,Cash,02/01/2022,Mall of Istanbul
I168514,C275132,Male,41,Shoes,2,1200.34,2400.68,Cash,02/01/2022,Zorlu Center
I263732,C334291,Female,22,Cosmetics,2,81.32,162.64,Cash,02/01/2022,Viaport Outlet
I759785,C330046,Female,55,Cosmetics,5,203.3,1016.5,Debit Card,02/01/2022,Forum Istanbul
I155339,C656600,Female,27,Clothing,5,1500.4,7502,Cash,02/01/2022,Viaport Outlet
I608601,C234986,Female,68,Souvenir,3,35.19,105.57,Debit Card,02/01/2022,Emaar Square Mall
I269006,C167054,Female,42,Clothing,4,1200.32,4801.28,Debit Card,02/01/2022,Mall of Istanbul
I237661,C925595,Female,27,Clothing,2,600.16,1200.32,Credit Card,02/01/2022,Kanyon
I337422,C998098,Female,34,Clothing,5,1500.4,7502,Cash,02/01/2022,Istinye Park
I150777,C333107,Male,18,Food & Beverage,3,15.69,47.07,Credit Card,02/01/2022,Mall of Istanbul
I137040,C241272,Female,25,Technology,3,3150,9450,Debit Card,02/01/2022,Mall of Istanbul
I253975,C149286,Female,41,Souvenir,2,23.46,46.92,Cash,02/01/2022,Kanyon
I306176,C535080,Male,26,Souvenir,2,23.46,46.92,Cash,02/01/2022,Zorlu Center
I194198,C339294,Male,40,Clothing,5,1500.4,7502,Credit Card,02/01/2022,Zorlu Center
I339918,C969337,Female,23,Toys,5,179.2,896,Cash,02/01/2022,Mall of Istanbul
I247307,C215495,Female,32,Clothing,4,1200.32,4801.28,Credit Card,02/01/2022,Kanyon
I303013,C296079,Male,29,Clothing,5,1500.4,7502,Credit Card,02/01/2022,Metrocity
I202361,C667607,Female,62,Cosmetics,2,81.32,162.64,Credit Card,02/01/2022,Kanyon
I138566,C149602,Male,47,Shoes,4,2400.68,9602.72,Credit Card,02/01/2022,Metrocity
I315849,C237336,Female,20,Food & Beverage,3,15.69,47.07,Credit Card,02/01/2022,Emaar Square Mall
I720115,C332983,Female,52,Food & Beverage,3,15.69,47.07,Debit Card,02/01/2022,Mall of Istanbul
I327209,C186243,Male,63,Clothing,5,1500.4,7502,Debit Card,02/01/2022,Metropol AVM
I331609,C356571,Female,49,Clothing,4,1200.32,4801.28,Credit Card,02/01/2022,Metropol AVM
I133497,C605964,Female,31,Food & Beverage,3,15.69,47.07,Credit Card,02/01/2022,Kanyon
I114315,C116955,Female,44,Shoes,1,600.17,600.17,Cash,02/01/2022,Istinye Park
I325640,C347012,Female,19,Clothing,2,600.16,1200.32,Credit Card,02/01/2022,Mall of Istanbul
I314057,C156104,Male,53,Souvenir,5,58.65,293.25,Cash,02/01/2022,Kanyon
I702079,C146756,Female,66,Food & Beverage,5,26.15,130.75,Credit Card,02/01/2022,Istinye Park
I125542,C261899,Male,46,Food & Beverage,1,5.23,5.23,Cash,02/01/2022,Istinye Park
I274962,C208909,Female,58,Clothing,2,600.16,1200.32,Debit Card,02/01/2022,Forum Istanbul
I215880,C136630,Female,54,Clothing,3,900.24,2700.72,Debit Card,02/01/2022,Metropol AVM
I140294,C242281,Female,65,Clothing,5,1500.4,7502,Cash,02/01/2022,Istinye Park
I205506,C781141,Female,20,Toys,4,143.36,573.44,Credit Card,02/01/2022,Metropol AVM
I228038,C310672,Female,19,Souvenir,3,35.19,105.57,Debit Card,02/01/2022,Kanyon
I199806,C169703,Male,22,Toys,5,179.2,896,Debit Card,02/01/2022,Kanyon
I142711,C649527,Female,35,Books,3,45.45,136.35,Credit Card,02/01/2022,Metrocity
I128817,C803336,Female,66,Clothing,4,1200.32,4801.28,Cash,02/01/2022,Emaar Square Mall
I695361,C899340,Female,33,Cosmetics,4,162.64,650.56,Debit Card,02/01/2022,Mall of Istanbul
I249127,C299093,Male,49,Clothing,1,300.08,300.08,Credit Card,02/01/2022,Kanyon
I293936,C246927,Female,49,Books,2,30.3,60.6,Credit Card,02/01/2022,Istinye Park
I777397,C319677,Male,58,Clothing,2,600.16,1200.32,Cash,02/01/2022,Kanyon
I541565,C274084,Male,43,Technology,2,2100,4200,Credit Card,02/01/2022,Emaar Square Mall
I138918,C728877,Female,43,Clothing,5,1500.4,7502,Credit Card,02/01/2022,Forum Istanbul
I822247,C118160,Female,46,Clothing,5,1500.4,7502,Credit Card,02/01/2022,Istinye Park
I955546,C118780,Male,41,Toys,3,107.52,322.56,Cash,02/01/2022,Kanyon
I188177,C130153,Male,18,Cosmetics,1,40.66,40.66,Cash,02/01/2022,Metropol AVM
I207253,C215198,Male,21,Clothing,3,900.24,2700.72,Credit Card,02/01/2022,Mall of Istanbul
I966680,C284599,Female,69,Shoes,1,600.17,600.17,Cash,02/01/2022,Istinye Park
I283005,C248416,Male,57,Cosmetics,1,40.66,40.66,Cash,02/01/2022,Metrocity
I179371,C159992,Female,48,Clothing,3,900.24,2700.72,Credit Card,02/01/2022,Mall of Istanbul
I137363,C840505,Female,34,Souvenir,5,58.65,293.25,Credit Card,02/01/2022,Metrocity
I136522,C231673,Male,58,Books,4,60.6,242.4,Credit Card,02/01/2022,Metropol AVM
I202393,C236377,Male,57,Toys,4,143.36,573.44,Credit Card,02/01/2022,Metrocity
I257191,C117092,Female,50,Clothing,2,600.16,1200.32,Cash,02/01/2022,Metrocity
I116862,C179806,Male,27,Technology,3,3150,9450,Debit Card,02/01/2022,Mall of Istanbul
I145772,C614359,Male,61,Food & Beverage,3,15.69,47.07,Credit Card,02/01/2022,Cevahir AVM
I950056,C204788,Female,60,Toys,5,179.2,896,Credit Card,02/01/2022,Istinye Park
I928299,C211285,Male,21,Food & Beverage,3,15.69,47.07,Cash,02/01/2022,Kanyon
I173462,C198415,Female,53,Clothing,3,900.24,2700.72,Credit Card,02/01/2022,Mall of Istanbul
I589564,C296968,Male,23,Cosmetics,4,162.64,650.56,Cash,02/01/2022,Mall of Istanbul
I299567,C206560,Female,55,Clothing,2,600.16,1200.32,Debit Card,02/01/2022,Cevahir AVM
I189031,C241177,Female,23,Clothing,2,600.16,1200.32,Credit Card,02/01/2022,Mall of Istanbul
I262064,C201728,Male,33,Toys,3,107.52,322.56,Debit Card,02/01/2022,Istinye Park
I254707,C105941,Male,39,Cosmetics,2,81.32,162.64,Credit Card,02/01/2022,Istinye Park
I250299,C789433,Male,28,Shoes,1,600.17,600.17,Credit Card,02/01/2022,Metrocity
I406732,C132041,Male,28,Toys,5,179.2,896,Cash,02/01/2022,Istinye Park
I316017,C185259,Female,56,Shoes,3,1800.51,5401.53,Debit Card,02/01/2022,Mall of Istanbul
I178061,C773447,Male,27,Food & Beverage,4,20.92,83.68,Cash,02/01/2022,Mall of Istanbul
I428936,C163505,Male,41,Technology,5,5250,26250,Cash,02/01/2022,Metropol AVM
I131187,C117797,Male,59,Books,1,15.15,15.15,Cash,02/01/2022,Kanyon
I654486,C139813,Female,21,Shoes,4,2400.68,9602.72,Debit Card,02/01/2022,Mall of Istanbul
I786127,C630685,Female,55,Cosmetics,2,81.32,162.64,Debit Card,02/01/2022,Istinye Park
I171794,C161640,Male,64,Toys,5,179.2,896,Cash,02/01/2022,Zorlu Center
I775555,C156376,Female,43,Clothing,4,1200.32,4801.28,Debit Card,02/01/2022,Mall of Istanbul
I243679,C480691,Female,67,Clothing,1,300.08,300.08,Cash,02/01/2022,Metrocity
I336268,C558104,Female,20,Clothing,3,900.24,2700.72,Debit Card,02/01/2022,Kanyon
I366837,C160982,Male,67,Souvenir,1,11.73,11.73,Cash,02/01/2022,Kanyon
I342060,C563409,Male,29,Clothing,4,1200.32,4801.28,Debit Card,02/01/2022,Kanyon
I310178,C676287,Female,40,Books,4,60.6,242.4,Cash,02/01/2022,Zorlu Center
I236039,C267386,Female,25,Cosmetics,3,121.98,365.94,Debit Card,02/01/2022,Kanyon
I284301,C632579,Male,31,Souvenir,3,35.19,105.57,Cash,02/01/2022,Cevahir AVM
I136313,C188970,Female,53,Clothing,4,1200.32,4801.28,Cash,02/01/2022,Kanyon
I159619,C179643,Female,40,Clothing,4,1200.32,4801.28,Debit Card,02/01/2022,Metropol AVM
I391449,C157958,Female,38,Clothing,5,1500.4,7502,Cash,02/01/2022,Istinye Park
I132965,C193973,Female,34,Food & Beverage,5,26.15,130.75,Credit Card,02/01/2022,Cevahir AVM
I140432,C274597,Male,53,Clothing,5,1500.4,7502,Cash,02/01/2022,Zorlu Center
I236241,C322569,Female,19,Shoes,2,1200.34,2400.68,Credit Card,02/01/2022,Mall of Istanbul
I288695,C861688,Female,55,Shoes,3,1800.51,5401.53,Credit Card,02/01/2022,Forum Istanbul
I708544,C101845,Female,28,Food & Beverage,2,10.46,20.92,Cash,02/01/2022,Kanyon
I249654,C193766,Female,27,Cosmetics,4,162.64,650.56,Credit Card,02/01/2022,Viaport Outlet
I328755,C377077,Female,40,Food & Beverage,1,5.23,5.23,Cash,02/01/2022,Metropol AVM
I106752,C279927,Female,45,Cosmetics,3,121.98,365.94,Credit Card,02/01/2022,Cevahir AVM
I152587,C320157,Female,69,Shoes,4,2400.68,9602.72,Cash,02/01/2022,Mall of Istanbul
I146641,C108690,Female,23,Shoes,1,600.17,600.17,Cash,02/01/2022,Kanyon
I170788,C263707,Male,64,Shoes,4,2400.68,9602.72,Cash,02/01/2022,Forum Istanbul
I242783,C503742,Female,24,Technology,1,1050,1050,Cash,02/01/2022,Metropol AVM
I194017,C462011,Female,67,Technology,5,5250,26250,Cash,03/01/2022,Kanyon
I162663,C502572,Male,35,Shoes,3,1800.51,5401.53,Credit Card,03/01/2022,Metrocity
I384873,C436520,Male,28,Clothing,2,600.16,1200.32,Debit Card,03/01/2022,Kanyon
I107109,C123490,Male,46,Food & Beverage,1,5.23,5.23,Cash,03/01/2022,Metrocity
I142134,C393686,Female,44,Cosmetics,2,81.32,162.64,Credit Card,03/01/2022,Istinye Park
I167157,C289303,Female,53,Food & Beverage,1,5.23,5.23,Cash,03/01/2022,Mall of Istanbul
I146662,C193544,Male,50,Shoes,4,2400.68,9602.72,Credit Card,03/01/2022,Mall of Istanbul
I200330,C243993,Male,64,Cosmetics,4,162.64,650.56,Cash,03/01/2022,Kanyon
I279131,C134232,Male,54,Clothing,2,600.16,1200.32,Cash,03/01/2022,Metrocity
I313245,C258323,Female,39,Souvenir,3,35.19,105.57,Debit Card,03/01/2022,Metrocity
I120223,C204386,Female,58,Shoes,1,600.17,600.17,Cash,03/01/2022,Zorlu Center
I186152,C131927,Female,69,Clothing,1,300.08,300.08,Debit Card,03/01/2022,Metrocity
I960778,C114897,Male,68,Technology,2,2100,4200,Cash,03/01/2022,Forum Istanbul
I212996,C175670,Female,64,Food & Beverage,3,15.69,47.07,Credit Card,03/01/2022,Kanyon
I194854,C306197,Female,65,Food & Beverage,3,15.69,47.07,Credit Card,03/01/2022,Metrocity
I214867,C812257,Male,39,Cosmetics,1,40.66,40.66,Cash,03/01/2022,Kanyon
I183930,C440438,Male,24,Clothing,2,600.16,1200.32,Credit Card,03/01/2022,Metropol AVM
I155620,C253571,Female,22,Clothing,5,1500.4,7502,Credit Card,03/01/2022,Kanyon
I982519,C993074,Male,44,Toys,5,179.2,896,Debit Card,03/01/2022,Metropol AVM
I699993,C289309,Male,42,Cosmetics,3,121.98,365.94,Credit Card,03/01/2022,Kanyon
I227640,C752621,Female,56,Clothing,5,1500.4,7502,Credit Card,03/01/2022,Forum Istanbul
I110964,C779528,Female,66,Shoes,4,2400.68,9602.72,Cash,03/01/2022,Mall of Istanbul
I143253,C173491,Male,69,Toys,3,107.52,322.56,Cash,03/01/2022,Metropol AVM
I307164,C322076,Female,41,Clothing,5,1500.4,7502,Debit Card,03/01/2022,Forum Istanbul
I747635,C175410,Female,49,Cosmetics,1,40.66,40.66,Debit Card,03/01/2022,Metrocity
I182882,C163655,Female,35,Clothing,3,900.24,2700.72,Cash,03/01/2022,Kanyon
I329742,C245924,Female,45,Technology,2,2100,4200,Credit Card,03/01/2022,Kanyon
I133253,C106383,Female,65,Food & Beverage,1,5.23,5.23,Cash,03/01/2022,Kanyon
I150135,C802398,Male,23,Books,4,60.6,242.4,Credit Card,03/01/2022,Kanyon
I104538,C205078,Female,62,Cosmetics,1,40.66,40.66,Cash,03/01/2022,Forum Istanbul
I167563,C200934,Male,37,Souvenir,1,11.73,11.73,Credit Card,03/01/2022,Forum Istanbul
I139859,C128671,Male,49,Books,2,30.3,60.6,Debit Card,03/01/2022,Viaport Outlet
I224350,C333421,Male,47,Clothing,2,600.16,1200.32,Cash,03/01/2022,Kanyon
I224950,C636958,Male,20,Clothing,3,900.24,2700.72,Credit Card,03/01/2022,Metropol AVM
I598599,C716205,Male,31,Cosmetics,3,121.98,365.94,Credit Card,03/01/2022,Emaar Square Mall
I193697,C145270,Female,26,Clothing,1,300.08,300.08,Cash,03/01/2022,Forum Istanbul
I324523,C290497,Female,21,Toys,4,143.36,573.44,Cash,03/01/2022,Metropol AVM
I126838,C321962,Female,39,Souvenir,2,23.46,46.92,Credit Card,03/01/2022,Kanyon
I604312,C314170,Female,36,Toys,1,35.84,35.84,Cash,03/01/2022,Mall of Istanbul
I139098,C482770,Female,46,Clothing,1,300.08,300.08,Credit Card,03/01/2022,Cevahir AVM
I212544,C122062,Female,65,Toys,2,71.68,143.36,Cash,03/01/2022,Forum Istanbul
I175326,C112400,Female,62,Clothing,2,600.16,1200.32,Cash,03/01/2022,Metrocity
I143446,C749909,Male,21,Clothing,5,1500.4,7502,Debit Card,03/01/2022,Metropol AVM
I105599,C196687,Female,36,Clothing,4,1200.32,4801.28,Cash,03/01/2022,Istinye Park
I294173,C212803,Male,41,Souvenir,3,35.19,105.57,Cash,03/01/2022,Metrocity
I310612,C250502,Male,52,Cosmetics,4,162.64,650.56,Credit Card,03/01/2022,Mall of Istanbul
I325745,C643254,Female,23,Shoes,3,1800.51,5401.53,Credit Card,03/01/2022,Kanyon
I168797,C187692,Female,29,Food & Beverage,3,15.69,47.07,Credit Card,03/01/2022,Mall of Istanbul
I274070,C479279,Female,32,Cosmetics,3,121.98,365.94,Cash,03/01/2022,Metrocity
I201378,C323842,Female,55,Food & Beverage,5,26.15,130.75,Cash,03/01/2022,Mall of Istanbul
I229168,C231916,Female,50,Cosmetics,3,121.98,365.94,Credit Card,03/01/2022,Forum Istanbul
I470270,C125811,Male,65,Cosmetics,4,162.64,650.56,Credit Card,03/01/2022,Kanyon
I313364,C315213,Female,25,Technology,4,4200,16800,Debit Card,03/01/2022,Emaar Square Mall
I258805,C309993,Female,43,Food & Beverage,1,5.23,5.23,Credit Card,03/01/2022,Kanyon
I322913,C160615,Female,48,Food & Beverage,4,20.92,83.68,Credit Card,03/01/2022,Kanyon
I592272,C123060,Male,19,Toys,1,35.84,35.84,Cash,03/01/2022,Zorlu Center
I206686,C285581,Female,56,Cosmetics,3,121.98,365.94,Cash,03/01/2022,Zorlu Center
I186133,C146198,Female,34,Food & Beverage,5,26.15,130.75,Credit Card,03/01/2022,Kanyon
I217739,C167304,Male,36,Cosmetics,1,40.66,40.66,Credit Card,03/01/2022,Kanyon
